experiment_hash,seed,condition,mode,accuracy,balanced_accuracy,spikes_per_correct,firing_rate_hz,assembly_separation,effective_gate,effective_gate_variance
3974457A05BA475D,107,weak_signal,disabled,0.781250000000,0.781250000000,2.480000000000,1.009114583333,2.588940344968,1.000000000000,0.000000000000
3974457A05BA475D,107,weak_signal,sign,0.781250000000,0.781250000000,2.360000000000,0.960286458333,2.520101230664,0.272151898734,0.108085242750
3974457A05BA475D,107,weak_signal,tanh,0.781250000000,0.781250000000,2.320000000000,0.944010416667,2.481751091808,0.399831074256,0.057518142883
3974457A05BA475D,107,weak_signal,random,0.781250000000,0.781250000000,2.320000000000,0.944010416667,2.493410501083,0.297969774594,0.100330999054
3974457A05BA475D,107,sparse_network,kernel,1.000000000000,1.000000000000,10.093750000000,3.504774305556,3.949573257956,0.327675664333,0.111975060946
3974457A05BA475D,107,sparse_network,constant,1.000000000000,1.000000000000,10.031250000000,3.483072916667,3.953893421800,0.327675664333,0.000000000000
3974457A05BA475D,107,sparse_network,disabled,1.000000000000,1.000000000000,11.062500000000,3.841145833333,4.028984359004,1.000000000000,0.000000000000
3974457A05BA475D,107,sparse_network,sign,1.000000000000,1.000000000000,10.093750000000,3.504774305556,3.949573257956,0.309571788413,0.123737096232
3974457A05BA475D,107,sparse_network,tanh,1.000000000000,1.000000000000,10.125000000000,3.515625000000,3.987656665423,0.446559058218,0.080327603696
3974457A05BA475D,107,sparse_network,random,1.000000000000,1.000000000000,10.156250000000,3.526475694444,3.899464757552,0.333386492869,0.114011306678
3974457A05BA475D,131,standard,kernel,1.000000000000,1.000000000000,7.375000000000,3.841145833333,3.848483088791,0.413021856189,0.135612604293
3974457A05BA475D,131,standard,constant,1.000000000000,1.000000000000,7.593750000000,3.955078125000,3.914748597115,0.413021856189,0.000000000000
3974457A05BA475D,131,standard,disabled,1.000000000000,1.000000000000,8.250000000000,4.296875000000,3.947880334735,1.000000000000,0.000000000000
3974457A05BA475D,131,standard,sign,1.000000000000,1.000000000000,7.375000000000,3.841145833333,3.848483088791,0.399715099715,0.149942938775
3974457A05BA475D,131,standard,tanh,1.000000000000,1.000000000000,7.656250000000,3.987630208333,3.891635511856,0.532013139610,0.093364995322
3974457A05BA475D,131,standard,random,1.000000000000,1.000000000000,7.468750000000,3.889973958333,3.879444769245,0.386673355134,0.129869717773
3974457A05BA475D,131,high_noise,kernel,0.937500000000,0.937500000000,13.733333333333,6.705729166667,3.717008602584,0.584435848001,0.139074426082
3974457A05BA475D,131,high_noise,constant,0.937500000000,0.937500000000,13.900000000000,6.787109375000,3.674564088015,0.584435848001,0.000000000000
3974457A05BA475D,131,high_noise,disabled,0.937500000000,0.937500000000,14.300000000000,6.982421875000,3.750004241762,1.000000000000,0.000000000000
3974457A05BA475D,131,high_noise,sign,0.937500000000,0.937500000000,13.733333333333,6.705729166667,3.717008602584,0.579478827362,0.153683116001
3974457A05BA475D,131,high_noise,tanh,0.937500000000,0.937500000000,13.866666666667,6.770833333333,3.623745891467,0.651380067313,0.102218183388
