seed,gate_mode,matched_constant_gate,mean_accuracy,accuracy_stddev_across_folds,balanced_accuracy,mean_firing_rate_hz,mean_gate,mean_effective_gate,mean_effective_gate_variance,mean_effective_gate_entropy_bits,mean_spikes_per_sample,spikes_per_correct_decision,mean_assembly_separation,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
23,tanh,0.1283111212878475,1.0,0.0,1.0,2.783203125,0.9151671380339066,0.06496916912866407,0.0,0.0,5.34375,5.34375,3.6523074933217807,16,0,0,16
23,random,0.1283111212878475,1.0,0.0,1.0,2.9134114583333335,0.1778629133575739,0.17600291833833592,0.013827854793237039,0.9341122584371419,5.59375,5.59375,3.6065472702830608,16,0,0,16
38,kernel,0.1283111212878475,0.9375,0.0625,0.9375,2.750651041666667,0.8708826346952796,0.1283111212878475,0.0,0.0,5.28125,5.633333333333334,3.4618212183611754,15,1,1,15
38,constant,0.1283111212878475,0.9375,0.0625,0.9375,2.750651041666667,0.1283111212878475,0.1283111212878475,0.0,0.0,5.28125,5.633333333333334,3.4618212183611754,15,1,1,15
38,disabled,0.1283111212878475,0.9375,0.0625,0.9375,5.924479166666667,1.0,1.0,0.0,0.0,11.375,12.133333333333333,2.3861922064125545,15,1,1,15
38,sign,0.1283111212878475,1.0,0.0,1.0,2.63671875,0.8839973958333334,0.1,5.416677968589101e-35,0.0,5.0625,5.0625,3.4815683266543864,16,0,0,16
38,tanh,0.1283111212878475,0.96875,0.05412658773652741,0.96875,2.5227864583333335,0.9171823028342783,0.06496916912866407,0.0,0.0,4.84375,5.0,3.538265019644043,16,0,1,15
38,random,0.1283111212878475,0.96875,0.05412658773652741,0.96875,2.848307291666667,0.18774337295576768,0.1649645288087073,0.01220561747838818,0.9123062986418717,5.46875,5.645161290322581,3.6311341436146445,15,1,0,16
53,kernel,0.1283111212878475,0.9375,0.0625,0.9375,2.7669270833333335,0.8704738343858786,0.1283111212878475,0.0,0.0,5.3125,5.666666666666667,3.4296682000787366,15,1,1,15
53,constant,0.1283111212878475,0.9375,0.0625,0.9375,2.7669270833333335,0.1283111212878475,0.1283111212878475,0.0,0.0,5.3125,5.666666666666667,3.4296682000787366,15,1,1,15
53,disabled,0.1283111212878475,0.875,0.08838834764831845,0.875,4.573567708333334,1.0,1.0,0.0,0.0,8.78125,10.035714285714286,2.464660584257761,14,2,2,14
53,sign,0.1283111212878475,0.9375,0.0625,0.9375,2.6692708333333335,0.8834895833333334,0.1,5.416677968589101e-35,0.0,5.125,5.466666666666667,3.4362039327749367,15,1,1,15
53,tanh,0.1283111212878475,0.90625,0.05412658773652741,0.90625,2.652994791666667,0.9160926917722348,0.06496916912866407,0.0,0.0,5.09375,5.620689655172414,3.3979454641963165,14,2,1,15
53,random,0.1283111212878475,0.875,0.0,0.875,2.799479166666667,0.18397391270793922,0.18625429914994293,0.015447450080396436,0.8961451433916007,5.375,6.142857142857143,3.290969749657264,14,2,2,14
71,kernel,0.1283111212878475,0.96875,0.05412658773652741,0.96875,2.994791666666667,0.8693096121523749,0.1283111212878475,0.0,0.0,5.75,5.935483870967742,3.6197348301169887,15,1,0,16
71,constant,0.1283111212878475,0.96875,0.05412658773652741,0.96875,2.994791666666667,0.1283111212878475,0.1283111212878475,0.0,0.0,5.75,5.935483870967742,3.6197348301169887,15,1,0,16
71,disabled,0.1283111212878475,0.875,0.08838834764831845,0.875,6.477864583333334,1.0,1.0,0.0,0.0,12.4375,14.214285714285714,2.4788868017064916,14,2,2,14
71,sign,0.1283111212878475,0.96875,0.05412658773652741,0.96875,2.9622395833333335,0.8817447916666667,0.1,6.018531076210112e-35,0.0,5.6875,5.870967741935484,3.663889595195645,15,1,0,16
71,tanh,0.1283111212878475,0.96875,0.05412658773652741,0.96875,2.848307291666667,0.9150316200273285,0.06496916912866407,0.0,0.0,5.46875,5.645161290322581,3.686470587123374,15,1,0,16
71,random,0.1283111212878475,1.0,0.0,1.0,3.336588541666667,0.1819156518529405,0.1732911708805105,0.01646488913719955,1.0039532541945007,6.40625,6.40625,3.364047699947722,16,0,0,16
