experiment_hash,seed,condition,mode,accuracy,balanced_accuracy,spikes_per_correct,firing_rate_hz,effective_gate,effective_gate_variance,total_spikes
C18E63A3EA120D7C,1301,medium_delay,random,0.458333333333,0.458333333333,11.409090909091,1.361762152778,0.315280529101,0.107332269269,251
C18E63A3EA120D7C,1301,long_delay,kernel,0.500000000000,0.500000000000,10.416666666667,1.356336805556,0.256495998216,0.081120188684,250
C18E63A3EA120D7C,1301,long_delay,constant,0.500000000000,0.500000000000,10.500000000000,1.367187500000,0.256495998216,0.000000000000,252
C18E63A3EA120D7C,1301,long_delay,disabled,0.562500000000,0.562500000000,9.629629629630,1.410590277778,1.000000000000,0.000000000000,260
C18E63A3EA120D7C,1301,long_delay,sign,0.500000000000,0.500000000000,10.416666666667,1.356336805556,0.234746760895,0.089640719144,250
C18E63A3EA120D7C,1301,long_delay,tanh,0.500000000000,0.500000000000,10.541666666667,1.372612847222,0.399725965055,0.054386669294,253
C18E63A3EA120D7C,1301,long_delay,random,0.500000000000,0.500000000000,10.500000000000,1.367187500000,0.266926304724,0.086275282330,252
C18E63A3EA120D7C,1361,medium_delay,kernel,0.479166666667,0.479166666667,11.478260869565,1.432291666667,0.361309017746,0.123029745297,264
C18E63A3EA120D7C,1361,medium_delay,constant,0.541666666667,0.541666666667,10.307692307692,1.453993055556,0.361309017746,0.000000000000,268
C18E63A3EA120D7C,1361,medium_delay,disabled,0.604166666667,0.604166666667,10.241379310345,1.611328125000,1.000000000000,0.000000000000,297
C18E63A3EA120D7C,1361,medium_delay,sign,0.500000000000,0.500000000000,10.958333333333,1.426866319444,0.342402183803,0.135162928330,263
C18E63A3EA120D7C,1361,medium_delay,tanh,0.541666666667,0.541666666667,10.461538461538,1.475694444444,0.492430253708,0.088220404901,272
C18E63A3EA120D7C,1361,medium_delay,random,0.541666666667,0.541666666667,10.384615384615,1.464843750000,0.355816387086,0.121379171399,270
C18E63A3EA120D7C,1361,long_delay,kernel,0.541666666667,0.541666666667,10.230769230769,1.443142361111,0.404275593884,0.133859330969,266
C18E63A3EA120D7C,1361,long_delay,constant,0.479166666667,0.479166666667,11.739130434783,1.464843750000,0.404275593884,0.000000000000,270
C18E63A3EA120D7C,1361,long_delay,disabled,0.520833333333,0.520833333333,11.720000000000,1.589626736111,1.000000000000,0.000000000000,293
C18E63A3EA120D7C,1361,long_delay,sign,0.562500000000,0.562500000000,9.814814814815,1.437717013889,0.390431519700,0.147994748125,265
C18E63A3EA120D7C,1361,long_delay,tanh,0.500000000000,0.500000000000,11.416666666667,1.486545138889,0.524727007628,0.087702442614,274
C18E63A3EA120D7C,1361,long_delay,random,0.562500000000,0.562500000000,9.888888888889,1.448567708333,0.429465364183,0.138492359551,267
C18E63A3EA120D7C,1423,medium_delay,kernel,0.458333333333,0.458333333333,11.136363636364,1.329210069444,0.287209556276,0.095676287666,245
C18E63A3EA120D7C,1423,medium_delay,constant,0.500000000000,0.500000000000,10.250000000000,1.334635416667,0.287209556276,0.000000000000,246
C18E63A3EA120D7C,1423,medium_delay,disabled,0.541666666667,0.541666666667,10.038461538462,1.416015625000,1.000000000000,0.000000000000,261
C18E63A3EA120D7C,1423,medium_delay,sign,0.458333333333,0.458333333333,11.136363636364,1.329210069444,0.267032967033,0.105726361551,245
C18E63A3EA120D7C,1423,medium_delay,tanh,0.479166666667,0.479166666667,10.739130434783,1.340060763889,0.422916724944,0.069533707113,247
C18E63A3EA120D7C,1423,medium_delay,random,0.458333333333,0.458333333333,11.090909090909,1.323784722222,0.270831038922,0.088148991597,244
C18E63A3EA120D7C,1423,long_delay,kernel,0.604166666667,0.604166666667,7.689655172414,1.209852430556,0.259115392714,0.082435581010,223
C18E63A3EA120D7C,1423,long_delay,constant,0.583333333333,0.583333333333,7.857142857143,1.193576388889,0.259115392714,0.000000000000,220
C18E63A3EA120D7C,1423,long_delay,disabled,0.604166666667,0.604166666667,8.000000000000,1.258680555556,1.000000000000,0.000000000000,232
C18E63A3EA120D7C,1423,long_delay,sign,0.604166666667,0.604166666667,7.689655172414,1.209852430556,0.237500000000,0.091093750000,223
C18E63A3EA120D7C,1423,long_delay,tanh,0.583333333333,0.583333333333,7.892857142857,1.199001736111,0.406039787786,0.058917476802,221
C18E63A3EA120D7C,1423,long_delay,random,0.583333333333,0.583333333333,7.892857142857,1.199001736111,0.231155021521,0.067689382705,221
C18E63A3EA120D7C,1481,medium_delay,kernel,0.479166666667,0.479166666667,10.434782608696,1.302083333333,0.298762810967,0.100663141616,240
C18E63A3EA120D7C,1481,medium_delay,constant,0.520833333333,0.520833333333,9.600000000000,1.302083333333,0.298762810967,0.000000000000,240
C18E63A3EA120D7C,1481,medium_delay,disabled,0.583333333333,0.583333333333,9.357142857143,1.421440972222,1.000000000000,0.000000000000,262
