seed,variant,steps,neuron_count,total_spikes,mean_firing_rate_hz,normalized_voltage_energy,mean_gate,gate_variance,population_spike_count_fano,mean_pairwise_spike_correlation,pairwise_correlation_pairs,binned_coincidence_rate,active_fraction,globally_computed_gate_mean,globally_computed_gate_variance,effective_gate_count,effective_gate_mean,effective_gate_variance,effective_gate_entropy_bits,effective_gate_minimum,effective_gate_maximum,spike_event_count,event_feature_mean,event_feature_variance,event_feature_minimum,event_feature_maximum,finite,voltage_rmse_vs_kernel,spike_disagreement_vs_kernel
53,state_shuffled,420,16,133,19.791666666666668,0.498330163236633,0.7886247751230184,0.06625079217157921,1.375062652299301,0.028665327066529585,120,0.3157894736842105,1.0,0.7927714045249027,0.06383047205042011,133,0.7113785163274,0.0984592963226631,0.9740990165461689,0.1283111212878475,0.8893954766521905,133,0.3998336073346368,0.6570843263303171,-0.9999999974551105,0.9999999999505523,True,6.815646238913192,226
53,disabled,420,16,142,21.130952380952383,0.46763989258128497,1.0,0.0,1.323876588974986,0.026269875675711974,120,0.29577464788732394,1.0,1.0,0.0,142,1.0,0.0,0.0,1.0,1.0,142,0.49330716518903817,0.5684536759772598,-0.9999999994397812,0.9999999999573808,True,7.381471510498958,245
71,kernel_ei,420,16,146,21.726190476190478,0.537827520842111,0.7886790943661565,0.066094273957886,1.4606001262614177,0.03361188411668057,120,0.4315068493150685,1.0,0.7892608411024445,0.06581163711292216,145,0.8396718897512501,0.022681217535225152,0.6136627704574573,0.12831080189096178,0.8893443921483943,146,0.778516468597231,0.16112345166137867,-0.8921819655026016,0.9999999999529178,True,0.0,0
71,event_constant,420,16,143,21.279761904761905,0.5476506980429975,0.8400536233470803,6.105690549975565e-05,1.4427405885031725,0.032244087618313585,120,0.4195804195804196,1.0,0.8396718897512501,0.0,142,0.8396718897512501,0.0,0.0,0.8396718897512501,0.8396718897512501,143,0.7510768216370288,0.18134348677224107,-0.4824480037475446,0.9999999999500851,True,6.8449453432122205,225
71,sign,420,16,149,22.172619047619047,0.5267942727252224,0.790952380952381,0.0755609977324263,1.5177213124364646,0.03630864519043963,120,0.47651006711409394,1.0,0.7916666666666666,0.07493055555555556,149,0.8516778523489933,0.036322688167199677,0.3290413568025904,0.1,0.9,149,0.7728661164717701,0.193236199465854,-0.9928431052614762,0.999999999953431,True,6.63072341687198,241
71,tanh,420,16,146,21.726190476190478,0.5263357595986871,0.8223162513176744,0.07400701246197529,1.515394646651735,0.03668307359789248,120,0.4863013698630137,1.0,0.8239593392012731,0.07340325641776747,146,0.868689160379667,0.04009842041372016,1.0662419866319104,0.05,0.95,146,0.7902793582833813,0.16501679575991338,-0.8087116254758903,0.9999999999408644,True,6.098094668330283,186
71,distribution_random,420,16,146,21.726190476190478,0.5415318587862861,0.8415834062250666,0.02245047872368636,1.4332028660662592,0.03060917173654427,120,0.4589041095890411,1.0,0.8412723367273155,0.022406736343888536,146,0.8452246363423082,0.019062887377242668,0.5749723703067517,0.12831080189096178,0.8893443921483943,146,0.7615640110561133,0.1894451724914496,-0.8320122944171117,0.9999999999528729,True,6.2595712806179025,240
71,time_shifted,420,16,149,22.172619047619047,0.5414026324423233,0.7846391263538496,0.06856906627874149,1.3834931248953628,0.02746731732567392,120,0.4228187919463087,1.0,0.7854103957723038,0.06795666194372132,148,0.889340501579485,6.660716196055575e-17,0.0,0.8893404870694415,0.8893405187181336,149,0.7803939814835422,0.17871361265460722,-0.9540903334745727,0.9999999999528729,True,6.834582100447071,245
71,state_shuffled,420,16,135,20.089285714285715,0.5479620820549292,0.7896982005389442,0.06552302546237684,1.567460312583774,0.04074438219461081,120,0.45925925925925926,1.0,0.7916389294183931,0.06447237613318883,135,0.7083779363802759,0.09974468488108254,0.9790231724570173,0.1283111212878475,0.8893981210433755,135,0.7004539006553637,0.25506410873994745,-0.9859374090624604,0.9999999999425362,True,7.459156200501623,235
71,disabled,420,16,155,23.06547619047619,0.5138571842211334,1.0,0.0,1.4309523770749617,0.030512746874430053,120,0.44516129032258067,1.0,1.0,0.0,155,1.0,0.0,0.0,1.0,1.0,155,0.8153869085352435,0.12520907450222568,-0.25623778432563954,0.9999999999586667,True,7.971231357898202,255
