seed,variant,accuracy,balanced_accuracy,accuracy_stddev,mean_effective_gate,effective_gate_variance,effective_gate_entropy_bits,mean_spikes_per_sample,spikes_per_correct_decision,assembly_separation
38,time_shifted,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.8893405146072532,2.463990693665165e-17,0.0,11.041666666666666,12.045454545454545,2.51755724781983
38,state_shuffled,0.8333333333333334,0.8333333333333334,0.15590239111558088,0.7889649604663668,0.06169233955215556,0.6289634461165958,10.333333333333334,12.4,2.472187079000721
38,disabled,0.9166666666666666,0.9166666666666666,0.05892556509887896,1.0,0.0,0.0,12.208333333333334,13.318181818181818,2.5828083746089905
53,kernel_ei,0.9583333333333334,0.9583333333333334,0.05892556509887896,0.7576380626069618,0.021681615030452725,0.7678566061399897,8.041666666666666,8.391304347826088,2.7281864826813877
53,event_constant,1.0,1.0,0.0,0.6756465979893646,4.108650548026103e-33,0.0,8.416666666666666,8.416666666666666,3.030116633219091
53,sign,0.875,0.875,0.10206207261596575,0.8904761904761905,0.006530612244897961,0.04930606488186062,9.291666666666666,10.619047619047619,2.6966477825498907
53,tanh,0.9166666666666666,0.9166666666666666,0.05892556509887896,0.7570034132534132,0.03943752863073074,0.7634627751075079,7.916666666666667,8.636363636363637,2.6581624166046716
53,distribution_random,1.0,1.0,0.0,0.6871557237120247,0.09595237349372226,0.8417362219874668,8.166666666666666,8.166666666666666,3.187357885624078
53,time_shifted,0.875,0.875,0.10206207261596575,0.8893405146414293,1.8570588110411978e-17,0.0,9.291666666666666,10.619047619047619,2.68765123755128
53,state_shuffled,0.8333333333333334,0.8333333333333334,0.15590239111558088,0.7990551195866966,0.0554464701199032,0.5563665976957491,8.958333333333334,10.75,2.4983204479518224
53,disabled,0.9166666666666666,0.9166666666666666,0.05892556509887896,1.0,0.0,0.0,9.875,10.772727272727273,2.5894275331646486
71,kernel_ei,0.875,0.875,0.0,0.8047113504719335,0.016020657313071496,0.6933907905339934,11.291666666666666,12.904761904761905,2.3416865929165724
71,event_constant,0.875,0.875,0.10206207261596575,0.8396718897512501,2.5679065925163146e-33,0.0,11.833333333333334,13.523809523809524,2.2628805320578227
71,sign,0.8333333333333334,0.8333333333333334,0.15590239111558088,0.9,3.5950692295228405e-33,0.0,12.083333333333334,14.5,2.2414837537384558
71,tanh,0.9166666666666666,0.9166666666666666,0.11785113019775792,0.8328441483425743,0.031141136519232535,0.6857210789985633,11.333333333333334,12.363636363636363,2.5946731005528076
71,distribution_random,0.875,0.875,0.10206207261596575,0.836068370249555,0.02321160451915787,0.593564094117066,11.666666666666666,13.333333333333334,2.41962085153121
71,time_shifted,0.8333333333333334,0.8333333333333334,0.15590239111558088,0.889340515316461,2.1978491578912435e-17,0.0,11.916666666666666,14.3,2.165029615500774
71,state_shuffled,0.875,0.875,0.10206207261596575,0.7624464002227507,0.07483467451136948,0.6085857042003787,10.791666666666666,12.333333333333334,2.577392704559014
71,disabled,0.8333333333333334,0.8333333333333334,0.05892556509887896,1.0,0.0,0.0,12.625,15.15,2.278494559208485
