seed,variant,gate_timing,gate_mode,gate_perturbation,steps,neuron_count,total_spikes,mean_firing_rate_hz,normalized_voltage_energy,mean_gate,gate_variance,population_spike_count_fano,mean_pairwise_spike_correlation,pairwise_correlation_pairs,binned_coincidence_rate,active_fraction,globally_computed_gate_mean,globally_computed_gate_variance,effective_gate_count,effective_gate_mean,effective_gate_variance,effective_gate_minimum,effective_gate_maximum,finite,voltage_rmse_vs_timing_reference,spike_disagreement_vs_timing_reference
38,emission_distribution_random,emission_state,random,none,420,24,267,26.48809523809524,0.4956830798119803,0.889603962728121,2.9086599153614156e-05,1.4953718542555412,0.02463064449915091,276,0.5880149812734082,1.0,0.8893404876791479,7.228830273965709e-17,267,0.8893404882936338,7.231830462456269e-17,0.8893404731030615,0.8893405023147337,True,3.307911949039027e-08,0
38,emission_time_shifted,emission_state,kernel,time_shifted,420,24,267,26.48809523809524,0.49568308169379954,0.7688373188195242,0.07730869008285472,1.4953718542555412,0.02463064449915091,276,0.5880149812734082,1.0,0.7677063777209294,0.07743619033323315,267,0.889340499021363,1.1219551129291056e-16,0.8893404762329513,0.889340539278697,True,3.992053621425439e-08,0
38,emission_state_shuffled,emission_state,kernel,state_shuffled,420,24,239,23.710317460317462,0.5084895450317126,0.7805021276114362,0.0708771807934079,1.585764093646854,0.0299664095430717,276,0.5774058577405857,1.0,0.7802386529596631,0.07079060305822409,239,0.7333142310924404,0.0943967567333704,0.1283111212878475,0.8894210444043092,True,7.935402410388783,414
53,reset_kernel,reset_locked,kernel,none,420,24,168,16.666666666666668,0.6191301628463766,0.8123253486778261,0.052343587569411494,5.135714272874999,0.18359827350247396,276,0.9583333333333334,1.0,0.8123253486778261,0.052343587569411494,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
53,reset_global_constant,reset_locked,constant,none,420,24,258,25.595238095238095,0.5018210424444602,0.8123253486778261,0.0,1.5640088568116357,0.02845246177204057,276,0.5581395348837209,1.0,0.8123253486778261,0.0,258,0.8123253486778261,0.0,0.8123253486778261,0.8123253486778261,True,7.990968762614431,366
53,reset_event_constant,reset_locked,constant,none,420,24,168,16.666666666666668,0.6191301628463766,0.1283111212878475,0.0,5.135714272874999,0.18359827350247396,276,0.9583333333333334,1.0,0.1283111212878475,0.0,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
53,reset_distribution_random,reset_locked,random,none,420,24,168,16.666666666666668,0.6191301628463766,0.1283111212878475,0.0,5.135714272874999,0.18359827350247396,276,0.9583333333333334,1.0,0.1283111212878475,0.0,168,0.1283111212878475,0.0,0.1283111212878475,0.1283111212878475,True,0.0,0
53,reset_time_shifted,reset_locked,kernel,time_shifted,420,24,270,26.78571428571429,0.49216654848980573,0.7668373544907762,0.07811490413585118,1.497883595553557,0.025835097649251897,276,0.5740740740740741,1.0,0.7664228828296776,0.07809894186673147,269,0.8893404928237676,7.079551722357254e-17,0.8893404751130642,0.8893405161258023,True,8.228687501535154,394
53,reset_state_shuffled,reset_locked,kernel,state_shuffled,420,24,244,24.206349206349206,0.5010685592419365,0.7743499705622998,0.0739522899162833,1.5993754851470545,0.02875628028172148,276,0.5778688524590164,1.0,0.7743499705622998,0.0739522899162833,243,0.6951688215587408,0.11006769690811688,0.1283111212878475,0.8893548655232116,True,7.64000703426669,360
53,emission_kernel,emission_state,kernel,none,420,24,270,26.78571428571429,0.49216654741789745,0.7668373543434369,0.07811490410062573,1.497883595553557,0.025835097649251897,276,0.5740740740740741,1.0,0.7664228828291825,0.07809894186748334,269,0.8893404873212065,6.091189298662853e-17,0.8893404709006989,0.8893405081495764,True,0.0,0
53,emission_event_constant,emission_state,constant,none,420,24,270,26.78571428571429,0.4921665476062466,0.889603962351394,2.9086599352058248e-05,1.497883595553557,0.025835097649251897,276,0.5740740740740741,1.0,0.8893404873212065,0.0,269,0.8893404873212065,0.0,0.8893404873212065,0.8893404873212065,True,1.9720678850097732e-08,0
53,emission_distribution_random,emission_state,random,none,420,24,270,26.78571428571429,0.492166547383036,0.8896039623934624,2.9086599329950928e-05,1.497883595553557,0.025835097649251897,276,0.5740740740740741,1.0,0.8893404873945697,6.069796905255562e-17,269,0.8893404862911231,6.144060499109961e-17,0.8893404738928733,0.8893405006971022,True,3.056788823549188e-08,0
