x,q,kernel,tanh_kernel,gate
-0.64999999999999991,-0.99999846154082839,-0.95798842051669963,-0.74337825425498605,0.12831087287250698
-0.60000000000000009,-0.9999983333361111,-0.95798832310299409,-0.74337821067318488,0.12831089466340756
-0.55000000000000004,-0.99999818182148759,-0.9579882079778137,-0.74337815916745997,0.12831092041627001
-0.5,-0.99999800000399997,-0.95798806982775209,-0.74337809736064786,0.12831095131967607
-0.44999999999999996,-0.99999777778271615,-0.95798790097790631,-0.74337802181907398,0.12831098909046301
-0.39999999999999991,-0.9999975000062501,-0.95798768991595384,-0.74337792739223874,0.12831103630388063
-0.35000000000000009,-0.99999714286530617,-0.95798741855116565,-0.74337780598652325,0.12831109700673837
-0.30000000000000004,-0.99999666667777787,-0.95798705673246221,-0.74337764411261342,0.12831117794369329
-0.25,-0.99999600001600009,-0.95798655018822376,-0.74337741748986419,0.12831129125506791
-0.19999999999999996,-0.99999500002499986,-0.95798579037612441,-0.74337707755732563,0.12831146122133719
-0.14999999999999991,-0.99999333337777752,-0.9579845240339806,-0.74337651100732138,0.12831174449633931
-0.10000000000000009,-0.99999000009999894,-0.95798199139227447,-0.74337537792316344,0.12831231103841828
-0.10000000000000001,-0.99999000009999894,-0.95798199139227447,-0.74337537792316344,0.12831231103841828
-0.050000000000000044,-0.99998000039999202,-0.95797439380779392,-0.7433719787974914,0.1283140106012543
-0.01,-0.99990000999900019,-0.95791363152203157,-0.74334479263828279,0.1283276036808586
-0.001,-0.99900099900099903,-0.95723230295585771,-0.74303978556619732,0.12848010721690134
-0.0001,-0.99009900990099009,-0.95064041121603349,-0.74007284157164133,0.12996357921417934
-1.0000000000000001e-05,-0.90909090909090906,-0.90227933274283634,-0.71740590589542685,0.14129704705228657
-9.9999999999999995e-07,-0.5,-0.84129873173576375,-0.68649634364635548,0.15675182817682226
-9.9999999999999995e-08,-0.090909090909090898,-0.85914863049821211,-0.69581876555347943,0.15209061722326028
-1e-08,-0.0099009900990099028,-0.86007251643290994,-0.69629503309779317,0.15185248345110341
-1.0000000000000001e-09,-0.000999000999000999,-0.86008360256430449,-0.6963007443317909,0.15184962783410455
-1e-10,-9.9990000999900015e-05,-0.86008371545969453,-0.69630080249157078,0.15184959875421461
-9.9999999999999994e-12,-9.9999000009999891e-06,-0.85850138034652845,-0.69548474007732475,0.15225762996133763
-9.9999999999999998e-13,-9.9999900000100006e-07,-0.20270871036369176,-0.19997710994807286,0.40001144502596359
